Variable,Variable name (raw),Variable name (clean),Measurement unit,Allowed values,Description
Date of Survey Start,StartDate,time_start,DD/MM/YYYY hh:mm:ss AM/PM,Any date,Date when survey was started
Date of Survey Finish,EndDate,time_end,DD/MM/YYYY hh:mm:ss AM/PM,Any date,Date when survey was completed
Survey Progress,Progress,N/A,Numeric,0-100,Percentage of survey completed
Survey Duration,Duration..in.seconds.,time_to_complete,Numeric,0-Inf,Time in seconds
Survey Completed,Finished,N/A,Numeric,1 = Survey completed,Indication of whether survey was completed
Browser,Q999_Browser,specs_Browser,Text,text,Browser used by participant
Browser Version,Q999_Version,specs_Version,Text,text,Browser version used by participant
Operating System,Q999_Operating.System,specs_Operating.System,Text,text,Operating system used by participant
Screen Resolution,Q999_Resolution,specs_Resolution,Text,text,Screen resolution used by participant
N/A,Q2_First.Click,pifFirst.Click,N/A,N/A,"Would have recorded timing information regarding the participant information sheet, but error meant no record was kept."
N/A,Q2_Last.Click,pifLast.Click,N/A,N/A,"Would have recorded timing information regarding the participant information sheet, but error meant no record was kept."
N/A,Q2_Page.Submit,pifPage.Submit,N/A,N/A,"Would have recorded timing information regarding the participant information sheet, but error meant no record was kept."
N/A,Q2_Click.Count,pifClick.Count,N/A,N/A,"Would have recorded timing information regarding the participant information sheet, but error meant no record was kept."
Consent,Q3,pcf,Numeric,"1 = Yes, 2 = No",
Time to first click on page showing Q3,Q5_First.Click,pcf_First.Click,Numeric,0-Inf,Measured in seconds
Time to last click on page showing Q3,Q5_Last.Click,pcf_Last.Click,Numeric,0-Inf,Measured in seconds
Time to submission of page showing Q3,Q5_Page.Submit,pcf_Page.Submit,Numeric,0-Inf,Measured in seconds
Total clicks on page showing Q3,Q5_Click.Count,pcf_Click.Count,Numeric,1-Inf,
Age,Q7,age,Numeric,18-Inf,Age of participant in years
Gender,Q8,gender,Numeric,"1 = Male, 2 = Female, 3 = Other",Gender of participant
Time to first click on page showing Q8,Q9_First.Click,demographics_First.Click,Numeric,0-Inf,Measured in seconds
Time to last click on page showing Q8,Q9_Last.Click,demographics_Last.Click,Numeric,0-Inf,Measured in seconds
